bigLevelId,levelId,roundIndex,waveGap,phaseId,phaseGap,spawnMode,monsterIds,delay,comment
2,1,1,0,1,0,sequential,"1,1,1,1,1",0.8,B2 L1 R1
2,1,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B2 L1 R2
2,1,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B2 L1 R3
2,1,4,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B2 L1 R4
2,1,5,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B2 L1 R5
2,1,6,0,1,0,sequential,"6,6,6,6,6,7,7,7,7,7",0.8,B2 L1 R6
2,1,7,0,1,0,sequential,"7,7,8,8,8,9,9,10,10",0.8,B2 L1 R7
2,1,8,0,1,0,sequential,"12,12,12",2,B2 L1 R8
2,2,1,0,1,0,sequential,"1,1,1,1,1",0.8,B2 L2 R1
2,2,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B2 L2 R2
2,2,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B2 L2 R3
2,2,4,0,1,0,sequential,"2,3,2,3,2,3,2,4,4,4,4,4",0.8,B2 L2 R4
2,2,5,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B2 L2 R5
2,2,6,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B2 L2 R6
2,2,7,0,1,0,sequential,"6,6,6,6,6,7,7,7,7,7",0.8,B2 L2 R7
2,2,8,0,1,0,sequential,"7,7,8,8,8,9,9,10,10",0.8,B2 L2 R8
2,2,9,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B2 L2 R9
2,2,10,0,1,0,sequential,"12,12,12",2,B2 L2 R10
2,3,1,0,1,0,sequential,"1,1,1,1,1",0.8,B2 L3 R1
2,3,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B2 L3 R2
2,3,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B2 L3 R3
2,3,4,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B2 L3 R4
2,3,5,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B2 L3 R5
2,3,6,0,1,0,sequential,"6,6,6,6,6,7,7,7,7,7",0.8,B2 L3 R6
2,3,7,0,1,0,sequential,"7,7,8,8,8,9,9,10,10",0.8,B2 L3 R7
2,3,8,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B2 L3 R8
2,3,9,0,1,0,sequential,"12,12,12",2,B2 L3 R9
2,4,1,0,1,0,sequential,"1,1,1,1,1",0.8,B2 L4 R1
2,4,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B2 L4 R2
2,4,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B2 L4 R3
2,4,4,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B2 L4 R4
2,4,5,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B2 L4 R5
2,4,6,0,1,0,sequential,"6,6,6,6,6,7,7,7,7,7",0.8,B2 L4 R6
2,4,7,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B2 L4 R7
2,4,8,0,1,0,sequential,"12,12,12",2,B2 L4 R8
2,5,1,0,1,0,sequential,"1,1,1,1,1",0.8,B2 L5 R1
2,5,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B2 L5 R2
2,5,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B2 L5 R3
2,5,4,0,1,0,sequential,"2,3,2,3,2,3,2,4,4,4,4,4",0.8,B2 L5 R4
2,5,5,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B2 L5 R5
2,5,6,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B2 L5 R6
2,5,7,0,1,0,sequential,"6,6,6,6,6,7,7,7,7,7",0.8,B2 L5 R7
2,5,8,0,1,0,sequential,"7,7,8,8,8,9,9,10,10",0.8,B2 L5 R8
2,5,9,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B2 L5 R9
2,5,10,0,1,0,sequential,"12,12,12",2,B2 L5 R10
