bigLevelId,levelId,roundIndex,waveGap,phaseId,phaseGap,spawnMode,monsterIds,delay,comment
3,1,1,0,1,0,sequential,"1,1,1,1,1",0.8,B3 L1 R1
3,1,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B3 L1 R2
3,1,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B3 L1 R3
3,1,4,0,1,0,sequential,"2,3,2,3,2,3,2,4,4,4,4,4",0.8,B3 L1 R4
3,1,5,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B3 L1 R5
3,1,6,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B3 L1 R6
3,1,7,0,1,0,sequential,"6,6,6,6,6,7,7,7,7,7",0.8,B3 L1 R7
3,1,8,0,1,0,sequential,"7,7,8,8,8,9,9,10,10",0.8,B3 L1 R8
3,1,9,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B3 L1 R9
3,2,1,0,1,0,sequential,"1,1,1,1,1",0.8,B3 L2 R1
3,2,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B3 L2 R2
3,2,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B3 L2 R3
3,2,4,0,1,0,sequential,"2,3,2,3,2,3,2,4,4,4,4,4",0.8,B3 L2 R4
3,2,5,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B3 L2 R5
3,2,6,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B3 L2 R6
3,2,7,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B3 L2 R7
3,2,8,0,1,0,sequential,"12,12,12",2,B3 L2 R8
3,3,1,0,1,0,sequential,"1,1,1,1,1",0.8,B3 L3 R1
3,3,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B3 L3 R2
3,3,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B3 L3 R3
3,3,4,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B3 L3 R4
3,3,5,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B3 L3 R5
3,3,6,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B3 L3 R6
3,3,7,0,1,0,sequential,"12,12,12",2,B3 L3 R7
3,4,1,0,1,0,sequential,"1,1,1,1,1",0.8,B3 L4 R1
3,4,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B3 L4 R2
3,4,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B3 L4 R3
3,4,4,0,1,0,sequential,"2,3,2,3,2,3,2,4,4,4,4,4",0.8,B3 L4 R4
3,4,5,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B3 L4 R5
3,4,6,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B3 L4 R6
3,4,7,0,1,0,sequential,"6,6,6,6,6,7,7,7,7,7",0.8,B3 L4 R7
3,4,8,0,1,0,sequential,"7,7,8,8,8,9,9,10,10",0.8,B3 L4 R8
3,4,9,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B3 L4 R9
3,4,10,0,1,0,sequential,"12,12,12",2,B3 L4 R10
3,5,1,0,1,0,sequential,"1,1,1,1,1",0.8,B3 L5 R1
3,5,2,0,1,0,sequential,"1,1,2,2,2,2,2,3,3",0.8,B3 L5 R2
3,5,3,0,1,0,sequential,"1,1,2,2,2,2,2,3,3,3,3",0.8,B3 L5 R3
3,5,4,0,1,0,sequential,"2,3,2,3,2,3,2,4,4,4,4,4",0.8,B3 L5 R4
3,5,5,0,1,0,sequential,"4,4,4,4,4,4,3,3,3,3,3,3",0.8,B3 L5 R5
3,5,6,0,1,0,sequential,"5,5,5,5,5,4,4,4,4,6",0.8,B3 L5 R6
3,5,7,0,1,0,sequential,"6,6,6,6,6,7,7,7,7,7",0.8,B3 L5 R7
3,5,8,0,1,0,sequential,"7,7,8,8,8,9,9,10,10",0.8,B3 L5 R8
3,5,9,0,1,0,sequential,"10,10,10,11,11,9,9,9,9,8,8,8,8",0.8,B3 L5 R9
3,5,10,0,1,0,sequential,"12,12,12",2,B3 L5 R10
